,Well,Time step,unloading,stable production,restriction on production line,towards stable production
286,W19,4029,0.0,1.0,0.0,0.0
287,W13,2873,0.0,1.0,0.0,0.0
288,W16,4149,0.0,1.0,0.0,0.0
289,W18,3653,0.0,1.0,0.0,0.0
290,W2,2292,0.0,1.0,0.0,0.0
291,W13,370,1.0,0.0,0.0,0.0
292,W17,4867,0.0,1.0,0.0,0.0
293,W9,848,1.0,0.0,0.0,0.0
294,W18,1708,0.0,1.0,0.0,0.0
295,W3,340,1.0,0.0,0.0,0.0
296,W17,368,1.0,0.0,0.0,0.0
297,W15,3748,0.0,1.0,0.0,0.0
298,W19,3428,0.0,1.0,0.0,0.0
299,W14,336,1.0,0.0,0.0,0.0
300,W5,153,1.0,0.0,0.0,0.0
301,W3,2403,0.0,1.0,0.0,0.0
302,W16,3789,0.0,1.0,0.0,0.0
303,W2,944,1.0,0.0,0.0,0.0
304,W13,3597,0.0,1.0,0.0,0.0
305,W9,3436,0.0,1.0,0.0,0.0
306,W10,1907,0.0,0.0,0.0,1.0
307,W14,6236,0.0,1.0,0.0,0.0
308,W19,2815,0.0,1.0,0.0,0.0
309,W18,3121,0.0,1.0,0.0,0.0
310,W20,2996,0.0,1.0,0.0,0.0
311,W12,2238,0.0,1.0,0.0,0.0
312,W8,2314,0.0,0.0,1.0,0.0
313,W2,916,1.0,0.0,0.0,0.0
314,W4,1059,1.0,0.0,0.0,0.0
315,W16,1895,0.0,1.0,0.0,0.0
316,W19,1038,1.0,0.0,0.0,0.0
317,W17,579,1.0,0.0,0.0,0.0
318,W5,3134,0.0,1.0,0.0,0.0
319,W7,3085,0.0,1.0,0.0,0.0
320,W9,2572,0.0,1.0,0.0,0.0
321,W10,245,1.0,0.0,0.0,0.0
322,W17,1728,0.0,1.0,0.0,0.0
323,W16,1106,1.0,0.0,0.0,0.0
324,W8,4186,0.0,0.0,1.0,0.0
325,W9,144,1.0,0.0,0.0,0.0
326,W18,2863,0.0,1.0,0.0,0.0
327,W2,2508,0.0,1.0,0.0,0.0
328,W15,330,1.0,0.0,0.0,0.0
329,W19,4217,0.0,1.0,0.0,0.0
330,W7,378,1.0,0.0,0.0,0.0
331,W7,1824,0.0,1.0,0.0,0.0
332,W12,419,1.0,0.0,0.0,0.0
333,W17,4763,0.0,1.0,0.0,0.0
334,W14,972,1.0,0.0,0.0,0.0
335,W8,2126,0.0,0.0,1.0,0.0
336,W8,3725,0.0,0.0,1.0,0.0
337,W3,2142,0.0,1.0,0.0,0.0
338,W2,2483,0.0,1.0,0.0,0.0
339,W5,1061,1.0,0.0,0.0,0.0
340,W5,4656,0.0,1.0,0.0,0.0
341,W4,1755,0.0,0.0,1.0,0.0
342,W9,657,1.0,0.0,0.0,0.0
343,W2,1349,0.0,0.0,0.0,1.0
344,W10,313,1.0,0.0,0.0,0.0
345,W8,4028,0.0,0.0,1.0,0.0
346,W16,2580,0.0,1.0,0.0,0.0
347,W4,2463,0.0,0.0,1.0,0.0
348,W10,1539,0.0,0.0,0.0,1.0
349,W16,3112,0.0,1.0,0.0,0.0
350,W13,298,1.0,0.0,0.0,0.0
351,W3,2909,0.0,1.0,0.0,0.0
352,W18,1206,1.0,0.0,0.0,0.0
353,W8,6225,0.0,0.0,1.0,0.0
